Shortest distances from landmark node 13304:
To node 13304: 0
To node 38003:No path exists
To node 22417:No path exists
To node 45345:No path exists
To node 29386:No path exists
To node 21809:No path exists
To node 13732:No path exists
To node 52737:No path exists
To node 479:No path exists
To node 17516:No path exists
To node 34491:No path exists
To node 34848:No path exists
To node 51411:No path exists
To node 46733:No path exists
To node 22860:No path exists
To node 27850:No path exists
To node 4347:No path exists
To node 17578:No path exists
To node 40019:No path exists
To node 3333:No path exists
To node 41283:No path exists
To node 33986:No path exists
To node 50128:No path exists
To node 49253:No path exists
To node 22354:No path exists
To node 26094:No path exists
To node 27363:No path exists
To node 57871:No path exists
To node 10764:No path exists
To node 31044:No path exists
To node 40222:No path exists
To node 51743:No path exists
To node 773:No path exists
To node 46946:No path exists
To node 44116:No path exists
To node 51018:No path exists
To node 28821:No path exists
To node 38361:No path exists
To node 39565:No path exists
To node 40522:No path exists
To node 21509:No path exists
To node 57167:No path exists
To node 50823:No path exists
To node 31261:No path exists
To node 33599:No path exists
To node 1211:No path exists
To node 35692:No path exists
To node 28695:No path exists
To node 45759:No path exists
To node 36038:No path exists
To node 35220:No path exists
To node 10107:No path exists
To node 57334:No path exists
To node 9884:No path exists
To node 41335:No path exists
To node 4881:No path exists
To node 26968:No path exists
To node 57781:No path exists
To node 56771:No path exists
To node 31678:No path exists
To node 426:No path exists
To node 3376:No path exists
To node 18075:No path exists
To node 16212:No path exists
To node 15067:No path exists
To node 6090:No path exists
To node 36721:No path exists
To node 58204:No path exists
To node 2179:No path exists
To node 53556:No path exists
To node 10334:No path exists
To node 52630:No path exists
To node 55330:No path exists
To node 49592:No path exists
To node 4011:No path exists
To node 12457:No path exists
To node 42540:No path exists
To node 19547:No path exists
To node 26889:No path exists
To node 46003:No path exists
To node 4215:No path exists
To node 24146:No path exists
To node 25682:No path exists
To node 35647:No path exists
To node 44089:No path exists
To node 29389:No path exists
To node 14334:No path exists
To node 37081:No path exists
To node 37494:No path exists
To node 55245:No path exists
To node 53398:No path exists
To node 25459:No path exists
To node 56008:No path exists
To node 36520:No path exists
To node 19878:No path exists
To node 20290:No path exists
To node 38296:No path exists
To node 15729:No path exists
To node 33486:No path exists
To node 56136:No path exists
To node 41096:No path exists
To node 22517:No path exists
To node 981:No path exists
To node 13024:No path exists
To node 12301:No path exists
To node 45946:No path exists
To node 42088:No path exists
To node 53656:No path exists
To node 52384:No path exists
To node 28339:No path exists
To node 1942:No path exists
To node 37959:No path exists
To node 39807:No path exists
To node 8886:No path exists
To node 1364:No path exists
To node 16257:No path exists
To node 2198:No path exists
To node 15773:No path exists
To node 15895:No path exists
To node 22219:No path exists
To node 18681:No path exists
To node 31758:No path exists
To node 9847:No path exists
To node 18420:No path exists
To node 22119:No path exists
To node 46794:No path exists
To node 51134:No path exists
To node 51506:No path exists
To node 52361:No path exists
To node 17085:No path exists
To node 7230:No path exists
To node 49914:No path exists
To node 43625:No path exists
To node 53771:No path exists
To node 40628:No path exists
To node 3291:No path exists
To node 45336:No path exists
To node 56853:No path exists
To node 42297:No path exists
To node 8138:No path exists
To node 873:No path exists
To node 24641:No path exists
To node 2995:No path exists
To node 29761:No path exists
To node 21464:No path exists
To node 11463:No path exists
To node 46626:No path exists
To node 37206:No path exists
To node 29765:No path exists
To node 16196:No path exists
To node 51210:No path exists
To node 33216:No path exists
To node 39376:No path exists
To node 40585:No path exists
To node 5961:No path exists
To node 6337:No path exists
To node 31941:No path exists
To node 56403:No path exists
To node 30713:No path exists
To node 45794:No path exists
To node 3181:No path exists
To node 16826:No path exists
To node 46554:No path exists
To node 54720:No path exists
To node 35278:No path exists
To node 58171:No path exists
To node 26838:No path exists
To node 2776:No path exists
To node 41741:No path exists
To node 1772:No path exists
To node 52947:No path exists
To node 26030:No path exists
To node 20445:No path exists
To node 7460:No path exists
To node 43246:No path exists
To node 14501:No path exists
To node 37016:No path exists
To node 35630:No path exists
To node 16045:No path exists
To node 53423:No path exists
To node 22778:No path exists
To node 19453:No path exists
To node 1015:No path exists
To node 30737:No path exists
To node 56528:No path exists
To node 30339:No path exists
To node 36819:No path exists
To node 38648:No path exists
To node 53772:No path exists
To node 33151:No path exists
To node 37534:No path exists
To node 54056:No path exists
To node 7221:No path exists
To node 28338:No path exists
To node 8570:No path exists
